Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
FY23-24,19980,Melton Railway Station (Melton South),-37.703362,144.572217,761300
FY23-24,19981,Rockbank Railway Station (Rockbank),-37.729258,144.65063,328050
FY23-24,19982,Deer Park Railway Station (Deer Park),-37.77776,144.772307,518750
FY23-24,20020,Ardeer Railway Station (Ardeer),-37.783063,144.802193,78950
FY23-24,20287,Albury Railway Station (Albury (NSW)),-36.084263,146.924518,73450
FY23-24,20288,Ararat Railway Station (Ararat),-37.282202,142.936912,50350
FY23-24,20289,Avenel Railway Station (Avenel),-36.893644,145.229517,1400
FY23-24,20290,Bacchus Marsh Railway Station (Maddingley),-37.687517,144.436857,334450
FY23-24,20291,Bairnsdale Railway Station (Bairnsdale),-37.828717,147.627615,49800
FY23-24,20292,Ballan Railway Station (Ballan),-37.6043,144.225443,85950
FY23-24,20293,Ballarat Railway Station (Ballarat Central),-37.55879,143.859452,604350
FY23-24,20294,Beaufort Railway Station (Beaufort),-37.427875,143.382233,8300
FY23-24,20295,Benalla Railway Station (Benalla),-36.544549,145.983914,28200
FY23-24,20296,Bendigo Railway Station (Bendigo),-36.765673,144.283012,456400
FY23-24,20297,Birregurra Railway Station (Birregurra),-38.328807,143.78362,3200
FY23-24,20298,Broadford Railway Station (Broadford),-37.207202,145.043009,44250
FY23-24,20299,Bunyip Railway Station (Bunyip),-38.09911,145.720762,13800
FY23-24,20300,Camperdown Railway Station (Camperdown),-38.2289,143.150932,14450
FY23-24,20301,Castlemaine Railway Station (Castlemaine),-37.062836,144.213801,214300
FY23-24,20302,Chiltern Railway Station (Chiltern),-36.155634,146.61138,5500
FY23-24,20303,Clarkefield Railway Station (Clarkefield),-37.483497,144.745368,31550
FY23-24,20304,Colac Railway Station (Colac),-38.343378,143.586658,27050
FY23-24,20305,Corio Railway Station (Corio),-38.072835,144.37977,29300
FY23-24,20306,Dingee Railway Station (Dingee),-36.369235,144.23112,350
FY23-24,20307,Donnybrook Railway Station (Donnybrook),-37.542571,144.96955,125550
FY23-24,20308,Drouin Railway Station (Drouin),-38.136453,145.855943,87600
FY23-24,20309,Eaglehawk Railway Station (Eaglehawk),-36.718528,144.248382,3100
FY23-24,20310,Echuca Railway Station (Echuca),-36.130985,144.753463,28800
FY23-24,20311,Elmore Railway Station (Elmore),-36.495017,144.607753,1900
FY23-24,20312,Euroa Railway Station (Euroa),-36.749135,145.568086,6900
FY23-24,20313,Garfield Railway Station (Garfield),-38.09103,145.67422,18950
FY23-24,20314,Geelong Railway Station (Geelong),-38.144241,144.354992,969600
FY23-24,20315,Gisborne Railway Station (New Gisborne),-37.458825,144.598718,129100
FY23-24,20316,Heathcote Junction Railway Station (Heathcote Junction),-37.371709,145.028202,5200
FY23-24,20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.794838,144.248993,77650
FY23-24,20318,Kerang Railway Station (Kerang),-35.733123,143.92443,7600
FY23-24,20319,Kilmore East Railway Station (Kilmore East),-37.293208,144.983565,54200
FY23-24,20320,Kyneton Railway Station (Kyneton),-37.258277,144.450602,123500
FY23-24,20321,Lara Railway Station (Lara),-38.022428,144.414402,320400
FY23-24,20323,Little River Railway Station (Little River),-37.962928,144.498485,15800
FY23-24,20324,Longwarry Railway Station (Longwarry),-38.110992,145.76686,14900
FY23-24,20325,Macedon Railway Station (Macedon),-37.423577,144.561397,42000
FY23-24,20326,Malmsbury Railway Station (Malmsbury),-37.189744,144.375325,17550
FY23-24,20327,Marshall Railway Station (Marshall),-38.19855,144.355055,151600
FY23-24,20328,Moe Railway Station (Moe),-38.176907,146.260574,98050
FY23-24,20329,Mooroopna Railway Station (Mooroopna),-36.399127,145.358217,4900
FY23-24,20330,Morwell Railway Station (Morwell),-38.236723,146.396752,90350
FY23-24,20331,Murchison East Railway Station (Murchison East),-36.61315,145.24064,7850
FY23-24,20332,Nagambie Railway Station (Nagambie),-36.78546,145.160358,4550
FY23-24,20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.08159,145.57167,6950
FY23-24,20334,North Geelong Railway Station (North Geelong),-38.122836,144.352277,320200
FY23-24,20335,North Shore Railway Station (North Shore),-38.098373,144.365323,84150
FY23-24,20336,Pyramid Railway Station (Pyramid Hill),-36.053113,144.11313,2750
FY23-24,20337,Riddells Creek Railway Station (Riddells Creek),-37.465127,144.679828,58150
FY23-24,20338,Rochester Railway Station (Rochester),-36.362363,144.698683,5200
FY23-24,20339,Rosedale Railway Station (Rosedale),-38.156403,146.786965,2550
FY23-24,20341,Sale Railway Station (Sale),-38.103105,147.054802,27650
FY23-24,20342,Seymour Railway Station (Seymour),-37.024725,145.137733,133200
FY23-24,20343,Shepparton Railway Station (Shepparton),-36.383795,145.4065,74300
FY23-24,20344,South Geelong Railway Station (South Geelong),-38.15866,144.358987,294500
FY23-24,20345,Springhurst Railway Station (Springhurst),-36.185894,146.470421,2700
FY23-24,20346,Stratford Railway Station (Stratford),-37.967047,147.081468,4050
FY23-24,20347,Swan Hill Railway Station (Swan Hill),-35.341113,143.562347,48600
FY23-24,20348,Tallarook Railway Station (Tallarook),-37.092332,145.103002,5700
FY23-24,20349,Terang Railway Station (Terang),-38.236215,142.911467,8950
FY23-24,20350,Trafalgar Railway Station (Trafalgar),-38.207239,146.15477,39700
FY23-24,20351,Traralgon Railway Station (Traralgon),-38.198889,146.537884,145200
FY23-24,20352,Tynong Railway Station (Tynong),-38.084994,145.628231,5100
FY23-24,20353,Violet Town Railway Station (Violet Town),-36.638817,145.715926,2800
FY23-24,20354,Wallan Railway Station (Wallan),-37.416534,145.005354,118800
FY23-24,20355,Wandong Railway Station (Wandong),-37.354676,145.026414,16300
FY23-24,20356,Wangaratta Railway Station (Wangaratta),-36.355102,146.317041,51900
FY23-24,20357,Warragul Railway Station (Warragul),-38.165227,145.932675,136100
FY23-24,20358,Warrnambool Railway Station (Warrnambool),-38.385015,142.475547,98300
FY23-24,20359,Winchelsea Railway Station (Winchelsea),-38.240133,143.984137,4700
FY23-24,20360,Wodonga Railway Station (Wodonga),-36.105829,146.871267,54750
FY23-24,20361,Woodend Railway Station (Woodend),-37.358803,144.525893,135150
FY23-24,20362,Yarragon Railway Station (Yarragon),-38.203155,146.063065,13150
FY23-24,22257,Sherwood Park Railway Station (Warrnambool),-38.386396,142.538873,3600
FY23-24,43469,Wendouree Railway Station (Wendouree),-37.539713,143.820062,162450
FY23-24,44951,Creswick Railway Station (Creswick),-37.424605,143.888122,1300
FY23-24,44952,Clunes Railway Station (Clunes),-37.303143,143.781574,1850
FY23-24,44953,Maryborough Railway Station (Maryborough),-37.050912,143.742399,9450
FY23-24,47482,Talbot Railway Station (Talbot),-37.172902,143.705635,850
FY23-24,47641,Waurn Ponds Railway Station (Waurn Ponds),-38.21581,144.30682,230950
FY23-24,47642,Epsom Railway Station (Epsom),-36.706343,144.321036,6600
FY23-24,47647,Wyndham Vale Railway Station (Manor Lakes),-37.872884,144.608734,919500
FY23-24,47648,Tarneit Railway Station (Tarneit),-37.832169,144.694716,1495450
FY23-24,48804,Cobblebank Railway Station (Cobblebank),-37.712542,144.604103,278050
FY23-24,49295,Raywood Railway Station (Raywood),-36.531956,144.201158,850
FY23-24,49296,Huntly Railway Station (Huntly),-36.665847,144.369821,1000
FY23-24,51809,Goornong Railway Station (Goornong),-36.615181,144.503478,2150
FY23-24,52011,Caroline Springs Railway Station (Ravenhall),-37.766144,144.735748,282150
FY23-24,64408,Southern Cross Railway Station (Melbourne City),-37.818245,144.951691,5925200
FY23-24,19829,Morradoo,-38.35403334,145.1896025,3600
FY23-24,19831,Hastings,-38.30565853,145.1859799,14300
FY23-24,19832,Tyabb,-38.259815,145.1864007,3250
FY23-24,19833,Somerville,-38.22534196,145.1762449,7400
FY23-24,19835,Glen Iris,-37.85930842,145.0582249,268850
FY23-24,19837,Darling,-37.86895684,145.0629508,282750
FY23-24,19838,East Malvern,-37.87693002,145.069393,335300
FY23-24,19839,Holmesglen,-37.87440222,145.090662,396900
FY23-24,19840,Jordanville,-37.87360339,145.1120902,386400
FY23-24,19844,Belgrave,-37.9091021,145.3552913,223050
FY23-24,19845,Tecoma,-37.90811849,145.3429946,43350
FY23-24,19846,Upwey,-37.90369097,145.3313334,92050
FY23-24,19847,Alamein,-37.86832039,145.0796557,91500
FY23-24,19848,Ashburton,-37.86196753,145.0813438,194250
FY23-24,19849,Burwood,-37.85156328,145.0805111,214050
FY23-24,19850,Hartwell,-37.84398457,145.0755596,132400
FY23-24,19851,Willison,-37.83571565,145.0702976,75100
FY23-24,19852,Riversdale,-37.83150543,145.069646,146100
FY23-24,19853,Camberwell,-37.82656714,145.0586972,1241500
FY23-24,19855,Frankston,-38.14299007,145.1261623,997450
FY23-24,19856,Kananook,-38.12174203,145.1352953,173700
FY23-24,19857,Seaford,-38.10402104,145.1282304,308950
FY23-24,19858,Carrum,-38.07489292,145.1224183,322800
FY23-24,19859,Bonbeach,-38.06294478,145.1196804,134500
FY23-24,19860,Chelsea,-38.05195538,145.1160413,340500
FY23-24,19861,Edithvale,-38.03805602,145.1085355,186300
FY23-24,19862,Aspendale,-38.02722019,145.1021496,156950
FY23-24,19863,Mordialloc,-38.00658295,145.0876594,538700
FY23-24,19864,Parkdale,-37.99307882,145.0763268,69450
FY23-24,19865,Mentone,-37.9818654,145.0651659,670400
FY23-24,19866,Cheltenham,-37.96664989,145.0545579,629500
FY23-24,19867,Upper Ferntree Gully,-37.8926717,145.3075302,155150
FY23-24,19868,Ferntree Gully,-37.88169799,145.2952513,269950
FY23-24,19869,Boronia,-37.8604518,145.2843851,380550
FY23-24,19870,Bayswater,-37.84173004,145.2681364,385400
FY23-24,19871,Heathmont,-37.82832227,145.2445554,150050
FY23-24,19872,Highett,-37.948425,145.0418718,345050
FY23-24,19873,Glen Waverley,-37.87950407,145.1620575,1326650
FY23-24,19874,Syndal,-37.87622963,145.1497805,682000
FY23-24,19875,Mount Waverley,-37.87525526,145.1280557,652600
FY23-24,19876,Lilydale,-37.75551777,145.3477102,410150
FY23-24,19877,Mooroolbark,-37.78474883,145.3124024,465850
FY23-24,19878,Croydon,-37.79543697,145.2805978,288100
FY23-24,19879,Ringwood East,-37.81196804,145.2501909,213500
FY23-24,19880,Pakenham,-38.08061397,145.4863791,451700
FY23-24,19881,Officer,-38.06614572,145.4109872,163300
FY23-24,19882,Beaconsfield,-38.05083135,145.3660737,174000
FY23-24,19883,Berwick,-38.04040829,145.3457261,948200
FY23-24,19884,Narre Warren,-38.02780932,145.3039694,268150
FY23-24,19885,Hallam,-38.01774038,145.2697768,551600
FY23-24,19886,Cranbourne,-38.09953731,145.280599,949900
FY23-24,19887,Merinda Park,-38.07900048,145.2635114,510450
FY23-24,19888,Dandenong,-37.98996792,145.2097254,2073300
FY23-24,19889,Yarraman,-37.97825454,145.1916003,275650
FY23-24,19890,Noble Park,-37.96723193,145.1769357,1001850
FY23-24,19891,Sandown Park,-37.95650457,145.1628259,421450
FY23-24,19892,East Camberwell,-37.82589419,145.0681902,176350
FY23-24,19893,Canterbury,-37.82448518,145.0812242,246900
FY23-24,19894,Chatham,-37.82429952,145.0886479,175600
FY23-24,19897,Laburnum,-37.82078023,145.1407027,291150
FY23-24,19898,Blackburn,-37.82007075,145.1500135,1230050
FY23-24,19899,Nunawading,-37.82060317,145.1748917,672750
FY23-24,19900,Mitcham,-37.81800987,145.1919735,833250
FY23-24,19901,Heatherdale,-37.81889537,145.2127872,406400
FY23-24,19902,Ringwood,-37.81588648,145.2289685,1606950
FY23-24,19903,Auburn,-37.82239831,145.0458437,626150
FY23-24,19904,Glenferrie,-37.82146682,145.0364388,1996050
FY23-24,19905,Hawthorn,-37.82182601,145.0228987,523950
FY23-24,19906,Burnley,-37.82756022,145.0075551,730000
FY23-24,19907,East Richmond,-37.82639995,144.9970657,537300
FY23-24,19909,Heyington,-37.83467244,145.0226353,185750
FY23-24,19910,Kooyong,-37.83992894,145.0335516,257850
FY23-24,19911,Tooronga,-37.84936553,145.0417337,467850
FY23-24,19912,Gardiner,-37.85327908,145.0516547,399250
FY23-24,19913,Springvale,-37.94950878,145.1534518,1473100
FY23-24,19914,Westall,-37.93849121,145.1388326,665850
FY23-24,19915,Clayton,-37.92468255,145.1205344,1535450
FY23-24,19916,Huntingdale,-37.91101734,145.1023643,1391450
FY23-24,19917,Oakleigh,-37.90037214,145.0883079,1555100
FY23-24,19918,Hughesdale,-37.89488129,145.0776351,548700
FY23-24,19919,Murrumbeena,-37.89019832,145.0673749,714250
FY23-24,19920,Carnegie,-37.88624148,145.0585751,993800
FY23-24,19921,Werribee,-37.89937805,144.661118,1085250
FY23-24,19922,Hoppers Crossing,-37.88327618,144.7009549,897300
FY23-24,19923,Laverton,-37.86369404,144.7726167,912600
FY23-24,19924,Aircraft,-37.86660595,144.7608094,234300
FY23-24,19925,Westona,-37.86516348,144.8134936,222100
FY23-24,19926,Altona,-37.8671476,144.8296447,260350
FY23-24,19927,Seaholme,-37.86784231,144.8409577,86500
FY23-24,19928,Westgarth,-37.7806207,144.9992332,195700
FY23-24,19929,Dennis,-37.77918729,145.0082416,247400
FY23-24,19930,Fairfield,-37.77917126,145.0169053,444550
FY23-24,19931,Alphington,-37.77839363,145.0312549,244050
FY23-24,19932,Darebin,-37.77496341,145.038476,102800
FY23-24,19933,Ivanhoe,-37.76889674,145.0454252,597750
FY23-24,19934,Eaglemont,-37.76358553,145.0539427,111200
FY23-24,19935,Heidelberg,-37.75707293,145.0606855,702150
FY23-24,19936,Rosanna,-37.7428786,145.0661403,505100
FY23-24,19937,Moorabbin,-37.93435329,145.0367383,524250
FY23-24,19938,Patterson,-37.92514919,145.03547,248350
FY23-24,19939,Bentleigh,-37.91742457,145.0369951,509100
FY23-24,19940,Mckinnon,-37.91030903,145.038299,307050
FY23-24,19941,Ormond,-37.90321167,145.0396134,456750
FY23-24,19943,Caulfield,-37.87745946,145.0425248,2909850
FY23-24,19944,Malvern,-37.8662533,145.0292939,612550
FY23-24,19945,Armadale,-37.85645238,145.0193255,413300
FY23-24,19946,Toorak,-37.85077381,145.0139086,363150
FY23-24,19947,Hawksburn,-37.84459087,145.0021421,378250
FY23-24,19948,Sandringham,-37.95033018,145.0045614,786850
FY23-24,19949,Hampton,-37.93797681,145.0014706,493950
FY23-24,19950,Brighton Beach,-37.92648432,144.9891536,393350
FY23-24,19951,Middle Brighton,-37.91513441,144.9962991,526150
FY23-24,19952,North Brighton,-37.90488721,145.002605,524650
FY23-24,19953,Gardenvale,-37.89669508,145.0041684,396750
FY23-24,19954,Elsternwick,-37.88475311,145.0008979,797050
FY23-24,19955,Ripponlea,-37.87590643,144.9952366,487100
FY23-24,19956,Balaclava,-37.86948773,144.9935121,787700
FY23-24,19957,Windsor,-37.85605308,144.9920352,601350
FY23-24,19958,Prahran,-37.84951848,144.9898599,893300
FY23-24,19959,South Yarra,-37.83844935,144.9923422,3100250
FY23-24,19960,Upfield,-37.66607779,144.9467399,275250
FY23-24,19961,Gowrie,-37.700678,144.9588743,231100
FY23-24,19962,Fawkner,-37.71462129,144.960545,147500
FY23-24,19963,Merlynston,-37.72093389,144.9613135,257800
FY23-24,19964,Batman,-37.73352285,144.9628406,222650
FY23-24,19965,Coburg,-37.74234502,144.9633363,498850
FY23-24,19966,Moreland,-37.75448484,144.961823,268250
FY23-24,19967,Anstey,-37.76124203,144.960684,358900
FY23-24,19968,Brunswick,-37.76772055,144.9595865,326950
FY23-24,19969,Jewell,-37.77498702,144.9587169,349050
FY23-24,19970,Royal Park,-37.78119293,144.9523013,304600
FY23-24,19971,Flemington Bridge,-37.78813995,144.9393233,252700
FY23-24,19972,Macaulay,-37.79426673,144.9361663,279350
FY23-24,19974,Clifton Hill,-37.78865745,144.9954167,779150
FY23-24,19975,Victoria Park,-37.79915782,144.9944514,615100
FY23-24,19976,Collingwood,-37.80452593,144.9937497,488050
FY23-24,19977,North Richmond,-37.81039836,144.9925003,609400
FY23-24,19978,West Richmond,-37.81494896,144.9914228,396750
FY23-24,19983,Macleod,-37.7260123,145.0691433,382150
FY23-24,19984,Watsonia,-37.71095798,145.0837934,434900
FY23-24,19985,Greensborough,-37.70395408,145.1082474,411400
FY23-24,19986,Montmorency,-37.71529624,145.1215157,192650
FY23-24,19987,Eltham,-37.71354967,145.147822,387550
FY23-24,19988,Diamond Creek,-37.67329744,145.1585062,128950
FY23-24,19989,Wattle Glen,-37.66396792,145.1816145,30100
FY23-24,19990,Hurstbridge,-37.63939817,145.1920169,82350
FY23-24,19991,Williamstown,-37.86775292,144.9053233,143650
FY23-24,19992,Williamstown Beach,-37.86398189,144.8944837,158900
FY23-24,19993,North Williamstown,-37.85733348,144.8890695,260900
FY23-24,19994,Newport,-37.84271757,144.8835999,1231700
FY23-24,19995,Spotswood,-37.83063888,144.8859335,294100
FY23-24,19996,Yarraville,-37.81585044,144.8899337,794400
FY23-24,19997,Seddon,-37.80900514,144.8956716,381350
FY23-24,15351,Sunbury,-37.57909097,144.7273188,690850
FY23-24,15353,Diggers Rest,-37.62701651,144.7199224,173850
FY23-24,20000,Watergardens,-37.70112872,144.7741805,1258850
FY23-24,20001,Keilor Plains,-37.72927934,144.7937381,614000
FY23-24,20002,St Albans,-37.74486131,144.8000505,1022200
FY23-24,20003,Ginifer,-37.75751083,144.8095734,650350
FY23-24,20004,Albion,-37.77765281,144.8247036,433100
FY23-24,20005,Epping,-37.65238715,145.0301217,725350
FY23-24,20006,Lalor,-37.66585075,145.0171932,446900
FY23-24,20007,Thomastown,-37.68033809,145.0142789,635600
FY23-24,20008,Keon Park,-37.69487012,145.0118838,133550
FY23-24,20009,Ruthven,-37.70789754,145.0095166,302050
FY23-24,20010,Reservoir,-37.71688492,145.0069958,852650
FY23-24,20011,Regent,-37.72840277,145.0027726,369000
FY23-24,20012,Preston,-37.73867424,145.000522,568750
FY23-24,20013,Bell,-37.74556212,145.000155,385100
FY23-24,20014,Thornbury,-37.75505179,144.9985715,372350
FY23-24,20015,Croxton,-37.764101,144.9970562,228050
FY23-24,20016,Northcote,-37.76986537,144.9952772,278000
FY23-24,20017,Merri,-37.77784668,144.9929725,146100
FY23-24,20019,Rushall,-37.78321711,144.9924071,119850
FY23-24,20021,Sunshine,-37.78853633,144.8328782,1830400
FY23-24,20022,Tottenham,-37.7992509,144.8629449,422000
FY23-24,20023,West Footscray,-37.8018087,144.8853248,522700
FY23-24,20024,Middle Footscray,-37.8025047,144.8914721,201800
FY23-24,20025,Footscray,-37.80108298,144.9031992,4365800
FY23-24,20026,South Kensington,-37.79953087,144.925469,304650
FY23-24,20027,Flemington Racecourse,-37.78720192,144.9075887,134250
FY23-24,20030,Broadmeadows,-37.68304926,144.9196132,874950
FY23-24,20031,Jacana,-37.69513079,144.9158505,215600
FY23-24,20032,Glenroy,-37.70453633,144.9172204,758850
FY23-24,20033,Oak Park,-37.71794973,144.9215188,437000
FY23-24,20034,Pascoe Vale,-37.73075596,144.9281956,530800
FY23-24,20035,Strathmore,-37.74359132,144.9273157,299900
FY23-24,20036,Glenbervie,-37.74720985,144.9209387,263100
FY23-24,20037,Essendon,-37.7560117,144.9161975,1312800
FY23-24,20038,Moonee Ponds,-37.76570666,144.9191607,759550
FY23-24,20039,Ascot Vale,-37.77530609,144.9218207,474300
FY23-24,20040,Newmarket,-37.78732767,144.9289785,598050
FY23-24,20041,Kensington,-37.79378022,144.9305244,435300
FY23-24,20042,Box Hill,-37.81922165,145.1214289,2535000
FY23-24,40220,Roxburgh Park,-37.63823121,144.9354037,512350
FY23-24,40221,Craigieburn,-37.6018169,144.9433203,1418700
FY23-24,44817,Coolaroo,-37.66100253,144.9260556,253750
FY23-24,45793,Lynbrook,-38.05734118,145.2492751,393250
FY23-24,45794,Cardinia Road,-38.07129047,145.437791,360500
FY23-24,45795,South Morang,-37.6491588,145.0670324,534400
FY23-24,46468,Williams Landing,-37.86986533,144.7474447,1359750
FY23-24,49343,Union,-37.823477,145.1000368,512800
FY23-24,52095,Southland,-37.958758,145.049124,432800
FY23-24,52159,Middle Gorge,-37.644062,145.09214,203450
FY23-24,52160,Hawkstowe,-37.622992,145.097396,184850
FY23-24,52161,Mernda,-37.602549,145.100883,710550
FY23-24,19841,Flagstaff,-37.81198131,144.9556538,3435300
FY23-24,19842,Melbourne Central,-37.80993877,144.9625935,11176650
FY23-24,19843,Parliament,-37.81105406,144.9729109,5862900
FY23-24,19854,Flinders Street,-37.81830513,144.9669643,20345200
FY23-24,19908,Richmond,-37.82407446,144.9901643,3722400
FY23-24,19973,North Melbourne,-37.80630984,144.9415102,1220400
FY23-24,19979,Jolimont,-37.81652702,144.9840983,1027200
FY23-24,22180,Southern Cross,-37.81793643,144.9514112,14019450
FY23-24,19827,Stony Point,-38.37423454,145.2218375,6700
FY23-24,19828,Crib Point,-38.36612338,145.2040433,7150
FY23-24,19830,Bittern,-38.33739032,145.1780265,7850
FY23-24,19836,Leawarra,-38.152034,145.139534,5150
FY23-24,20028,Showgrounds,-37.7835,144.915,138000
FY23-24,19834,Baxter,-38.19404306,145.1605261,2550
FY23-24,19942,Glenhuntly,-37.88971946,145.0422229,524650
FY23-24,49458,East Pakenham,-38.084284,145.506311,3700